FIPS,x,y,pop,cancer,poverty,smoking,PM25,NO2,SO2
37017,1577416.075,1428761.544,28000.2,70,21.81,21.81,27.52,1.13,0.02
13025,1326661.912,1000420.533,12906.93333,99,18.23,18.23,30.06,0.68,0.02
13315,1178880.849,1066819.615,12550.46667,74,27.23,27.23,28.12,0.73,0.02
51700,1702968.965,1737731.396,12100.93333,68,13.81,13.81,24.95,2.62,0.05
51091,1415121.011,1826079.888,29515.6,56,12.75,12.75,25.21,1.11,0.04
51810,1752695.578,1705589.886,20142.4,63,7.51,7.51,22.45,2.12,0.04
51165,1471173.589,1853131.421,79924.33333,51,8.92,8.92,23.80,1.49,0.05
13183,1339648.617,1064862.147,14600.2,84,20.89,20.89,27.95,0.81,0.01
13231,1074360.616,1179283.593,15996.93333,85,11.23,11.23,25.39,1.47,0.13
13113,1060350.192,1213666.982,12565.2,48,5.18,5.18,18.26,2.41,0.16
13005,1276775.865,1033243.564,12842.8,97,20.66,20.66,29.77,0.65,0.01
37183,1545650.8,1556677.834,17067.26667,53,9.11,9.11,17.73,2.11,0.03
45071,1310463.886,1346837.147,29601.53333,69,16.21,16.21,27.22,1.22,0.02
13071,1158669.438,976083.7313,23162.33333,80,22.59,22.59,27.98,0.70,0.01
13199,1047465.29,1170294.889,24407.13333,66,19.15,19.15,28.19,1.25,0.11
24025,1663852.67,2010730.911,57180.86667,64,6.07,6.07,21.71,4.54,0.12
51051,1197155.374,1651004.36,25407.8,91,20.36,20.36,31.33,1.86,0.05
34035,1780207.58,2151254.925,23062.86667,47,4.27,4.27,15.79,6.03,0.06
36113,1765770.902,2492083.498,66075.73333,63,10.66,10.66,24.27,1.25,0.00
42107,1645709.504,2137970.773,314636.6,67,11.43,11.43,28.67,3.34,0.11
42041,1571533.317,2060710.058,31174.86667,52,6.65,6.65,20.99,3.90,0.11
54071,1427489.357,1864438.437,7509.8,46,13.79,13.79,27.13,1.29,0.07
51021,1303204.702,1667921.155,19269.4,71,12.99,12.99,28.03,1.15,0.03
24043,1538083.918,1990247.173,80512.86667,66,10.17,10.17,25.11,3.62,0.10
13079,1116766.6,1142102.125,27907,75,16.65,16.65,27.51,1.24,0.08
54025,1347254.648,1767353.557,67196.53333,80,17.39,17.39,28.57,1.30,0.04
42045,1731682.361,2066067.558,28062.53333,67,9.15,9.15,24.61,6.20,0.06
13273,1087754.095,1033206.976,24626.4,85,27.55,27.55,27.72,0.80,0.01
42127,1697727.853,2257139.2,38729.06667,64,11.91,11.91,26.91,1.25,0.03
51031,1478293.438,1705612.137,30497.86667,68,11.79,11.79,26.74,1.84,0.05
13129,1011067.176,1330535.353,27040.66667,90,14.01,14.01,28.57,2.06,0.16
51121,1367109.715,1682899.993,102594.1333,55,17.40,17.40,19.98,1.96,0.04
51029,1519909.161,1754957.03,7529.266667,69,18.90,18.90,28.81,1.66,0.04
37055,1798253.644,1604192.673,16554.2,67,9.18,9.18,25.11,1.15,0.01
13137,1130864.957,1359803.544,48418.2,60,13.65,13.65,25.59,1.14,0.03
54043,1204390.574,1770898.492,20027.53333,108,23.91,23.91,33.20,2.43,0.17
42033,1454142.899,2133464.921,39653.8,61,13.97,13.97,27.39,2.17,0.18
36105,1739211.263,2274248.013,71023,71,15.28,15.28,25.81,1.48,0.02
42111,1429094.609,2011809.21,10068.6,49,12.93,12.93,27.22,2.64,0.26
51023,1409669.854,1733520.052,13858.33333,53,6.28,6.28,23.21,1.78,0.03
51109,1559975.42,1808855.188,18999.73333,76,10.14,10.14,26.84,2.05,0.06
42055,1538800.032,2027269.531,98628.4,55,8.53,8.53,24.39,3.28,0.10
13253,1058244.949,935725.1685,38165.06667,81,23.45,23.45,27.06,0.65,0.01
37095,1763204.221,1568816.331,11846.06667,69,22.05,22.05,28.37,1.18,0.01
42103,1727250.264,2227452.264,18406.8,58,8.25,8.25,25.25,1.83,0.04
13105,1201057.911,1311274.263,32879.53333,74,18.65,18.65,28.79,1.11,0.03
45007,1213040.652,1358418.683,123374.5333,70,13.92,13.92,26.80,1.50,0.02
36061,1827575.68,2186232.241,19223.4,43,17.91,17.91,18.74,10.69,0.04
36095,1743539.37,2375273.679,62611.53333,67,12.17,12.17,25.11,1.50,0.01
13301,1226878.056,1235056.745,31379.26667,84,23.90,23.90,28.78,1.33,0.06
13261,1106655.278,1065071.709,47865.26667,70,25.01,25.01,25.11,0.89,0.02
51045,1376536.195,1719306.873,194493,63,10.05,10.05,25.97,1.89,0.03
13107,1274318.468,1149501.496,192238.6667,84,25.76,25.76,27.91,0.75,0.02
54015,1284743.833,1815780.539,9533.466667,103,24.78,24.78,32.11,2.30,0.12
42059,1331673.938,1981403.637,28703.6,74,16.41,16.41,27.35,4.15,0.39
36081,1841804.183,2182258.761,28622.26667,39,14.54,14.54,20.00,14.69,0.04
36065,1648770.996,2428756.763,82015.6,63,14.28,14.28,26.19,1.83,0.01
51079,1510291.406,1835864.464,54257.46667,61,8.13,8.13,24.67,1.53,0.04
54011,1185759.528,1795938.607,178601,83,18.79,18.79,28.83,2.79,0.24
54061,1350699.787,1959197.776,80874.93333,61,17.48,17.48,22.56,3.30,0.33
51510,1616258.352,1915795.151,24404.8,48,8.17,8.17,16.33,4.86,0.15
42063,1410676.886,2085864.825,36010.93333,53,15.93,15.93,24.21,3.69,0.34
24013,1604981.209,1998805.915,146900.7333,61,4.87,4.87,21.19,3.27,0.13
54103,1301405.283,1948184.975,15260.86667,83,17.39,17.39,30.05,3.60,0.33
13299,1287458.284,978514.5473,23654.13333,78,21.82,21.82,28.41,0.64,0.01
54091,1356170.287,1926659.922,33761.8,78,18.14,18.14,28.23,2.71,0.23
37103,1676368.487,1494220.466,74704.6,70,17.85,17.85,27.88,1.35,0.01
45049,1378190.662,1186307.961,23151.86667,74,22.88,22.88,26.23,0.84,0.02
51650,1717605.117,1735088.898,16465.6,73,13.46,13.46,23.96,2.73,0.06
51095,1675785.756,1757564.59,39254.46667,48,6.69,6.69,18.48,2.33,0.07
42069,1678063.195,2228579.147,78161.4,64,12.03,12.03,26.96,1.98,0.05
42013,1475160.903,2078209.205,7898.733333,65,13.15,13.15,26.77,2.97,0.17
13257,1153423.385,1354138.051,9625,83,17.77,17.77,27.33,1.29,0.03
37047,1576210.284,1388925.415,15363.66667,80,22.56,22.56,29.27,0.96,0.02
37071,1330908.701,1463722.596,8577,82,14.53,14.53,28.59,2.61,0.10
45025,1433973.062,1406304.158,16396.86667,81,20.37,20.37,29.29,1.38,0.03
36111,1775867.93,2302403.31,23503.8,61,11.60,11.60,23.75,2.03,0.02
37021,1205489.367,1480787.544,28286.06667,62,14.03,14.03,25.36,1.42,0.05
37015,1686744.852,1615496.926,24388.66667,70,23.18,23.18,26.56,1.53,0.02
34031,1794089.083,2208556.382,60499.53333,52,13.49,13.49,21.47,5.99,0.04
45017,1395339.658,1290613.603,33618.6,53,16.71,16.71,24.63,1.47,0.05
36087,1813564.819,2226668.669,75901.4,44,10.77,10.77,18.28,5.09,0.04
51057,1647038.652,1822048.171,160261,74,13.00,13.00,25.65,2.44,0.10
37135,1498854.676,1579049.044,17668.66667,58,13.19,13.19,17.05,1.98,0.07
34037,1759786.533,2212712.261,24924.53333,63,4.69,4.69,21.71,3.16,0.05
13123,1046569.812,1355924.329,34043.13333,63,15.97,15.97,28.58,1.25,0.09
